skill_name_en,description_en,subsector_en,related_job_families_en,needs_review
UI and UX design,"Enhance user interaction and engagement with an IT product or service through analysis of performance against user expectations and outcomes. Create wireframes to guide planning and development, and implement improvements to optimize the user experience",Information Technology; Communications,Data and AI; Data Protection and Cybersecurity; Design and Animation; Infrastructure; R&D and Product Development; Sales and Marketing; Software; Telecom Engineering,
User testing and usability testing,"Conduct and manage user tests to validate the feasibility of design, evaluate its functionality and ease of use as part of a user-centered design process",Information Technology; Communications,Design and Animation; R&D and Product Development; Software,
Virtual emulation testing,"Testing Open RAN systems using virtual emulation tools. It requires knowledge of virtualization technologies such as VMware or VirtualBox, as well as experience in setting up virtual environments for testing",Information Technology; Communications,Telecom Engineering,
"Virtual, augmented and mixed reality application","Implement virtual, augmented, and mixed reality (VR, AR, and MR) solutions in organizations. AR overlays digital elements on the real world to enhance user experience, VR creates fully immersive digital environments, and MR combines real and virtual worlds, allowing interaction between digital and physical objects in real-time",Information Technology; Communications,Data and AI; Design and Animation; Operations; Quality; R&D and Product Development; Sales and Marketing; Software; Telecom Engineering,
Virtualisation technology,"Use virtualisation technology to review and demonstrate work processes, skills and techniques and to deliver quality across the entire business.",Information Technology; Communications,Infrastructure; Software,
Vulnerability assessment and detection,"Effectively conducting vulnerability scans using network analysis tools, identifying vulnerabilities in security systems and interpreting vulnerability scan results to identify levels of criticality in relation to the organization",Information Technology; Communications,"Data Protection and Cybersecurity; Governance, Risk and Compliance; Quality; Software",
Web content management,"Create, curate and manage the organization's web assets and content using appropriate systems and platforms to engage prospects and customers on the organization's value propositions",Information Technology; Communications,Business Processes; Operations; Consultation; Partnerships; Data and AI; Pre-sales; Project Management; Quality; Design and Animation; R&D and Product Development; Sales and Marketing; Hardware; Software; Infrastructure; Telecom Engineering,
Web pages optimization,Optimizing web pages for maximum speed and scalability,Information Technology; Communications,Software,
Website traffic monitoring,Monitor and compile reports on website traffic and to compile traffic reports according to organizational requirements,Information Technology; Communications,Sales and Marketing; Software,
Wireless network planning and optimization,"Design and optimize wireless networks through small cells RAN studies, spectrum analysis, and RF measurement. Ensures RAN efficiency with expertise in accessibility, retainability, availability, and mobility management.",Information Technology; Communications,Infrastructure; Quality; R&D and Product Development; Telecom Engineering,
